date,store,item,qnty,group
2019-05-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,513.41,Гвоздь
2019-06-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,456.365,Гвоздь
2019-07-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1312.049,Гвоздь
2019-08-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3898.116,Гвоздь
2019-09-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1540.231,Гвоздь
2019-10-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1654.322,Гвоздь
2019-11-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,646.517,Гвоздь
2019-12-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1388.11,Гвоздь
2020-01-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,475.38,Гвоздь
2020-02-29,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1026.821,Гвоздь
2020-03-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,532.426,Гвоздь
2020-04-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2605.082,Гвоздь
2020-05-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,589.471,Гвоздь
2020-06-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,7206.761,Гвоздь
2020-07-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,817.654,Гвоздь
2020-08-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,114.091,Гвоздь
2020-09-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,4012.207,Гвоздь
2020-10-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,551.441,Гвоздь
2020-11-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,152.122,Гвоздь
2020-12-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,4734.785,Гвоздь
2021-01-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,4335.466,Гвоздь
2021-02-28,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1445.155,Гвоздь
2021-03-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5628.499,Гвоздь
2021-04-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1216.973,Гвоздь
2021-05-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2567.052,Гвоздь
2021-06-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,12264.804,Гвоздь
2021-07-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,8823.053,Гвоздь
2021-08-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2928.341,Гвоздь
2021-09-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3993.192,Гвоздь
2021-10-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2471.976,Гвоздь
2021-11-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5000.998,Гвоздь
2021-12-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,10534.421,Гвоздь
2022-01-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,10363.284,Гвоздь
2022-02-28,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6484.183,Гвоздь
2022-03-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3898.116,Гвоздь
2022-04-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5780.621,Гвоздь
2022-05-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1197.958,Гвоздь
2022-06-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,10040.026,Гвоздь
2022-07-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,1445.155,Гвоздь
2022-08-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,6217.97,Гвоздь
2022-09-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,3232.584,Гвоздь
2022-10-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5134.104,Гвоздь
2022-11-30,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,5647.514,Гвоздь
2022-12-31,eca7c733-a4ce-11dd-9fda-bbd1c3700a04,126430a2-53fe-11df-ad0e-0026554da212,2281.824,Гвоздь
2015-01-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-02-28,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-03-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-04-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-05-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-06-30,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-07-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
2015-08-31,7d76d698-71f1-11ec-2498-d00d30108273,126430a2-53fe-11df-ad0e-0026554da212,0.0,Гвоздь
